Date,Open,High,Low,Close,Volume
2025-02-19 15:33:00,96283.99,96405.45,96283.98,96336.01,66.58662
2025-02-19 15:34:00,96336.01,96397.55,96310.01,96392.01,35.07946
2025-02-19 15:35:00,96392.01,96399.35,96233.48,96233.48,18.91267
2025-02-19 15:36:00,96233.48,96246.65,96165.74,96165.74,19.59001
2025-02-19 15:37:00,96165.74,96241.58,96157.78,96166.15,14.14934
2025-02-19 15:38:00,96166.16,96252.29,96166.16,96245.99,10.952
2025-02-19 15:39:00,96245.99,96324.1,96227.96,96315.98,14.44961
2025-02-19 15:40:00,96315.98,96335.24,96274.1,96276.32,17.29205
2025-02-19 15:41:00,96276.32,96276.32,96190.5,96190.51,15.09303
2025-02-19 15:42:00,96190.5,96273.04,96188.76,96273.04,4.67821
2025-02-19 15:43:00,96273.04,96331.99,96273.03,96317.5,20.6224
2025-02-19 15:44:00,96317.5,96328.54,96265.66,96265.67,6.88372
2025-02-19 15:45:00,96265.66,96284.0,96235.0,96235.0,7.84811
2025-02-19 15:46:00,96235.01,96235.01,96158.49,96196.01,19.32832
2025-02-19 15:47:00,96196.0,96196.01,96113.21,96127.88,13.72488
2025-02-19 15:48:00,96127.89,96186.14,96084.21,96119.41,18.11284
2025-02-19 15:49:00,96119.4,96197.77,96119.4,96192.01,7.31366
2025-02-19 15:50:00,96192.01,96238.48,96182.0,96238.48,6.21855
2025-02-19 15:51:00,96238.47,96247.42,96115.11,96115.12,9.91223
2025-02-19 15:52:00,96115.11,96175.27,96114.74,96152.01,4.1807
2025-02-19 15:53:00,96152.01,96183.81,96148.12,96156.79,5.00613
2025-02-19 15:54:00,96156.79,96156.79,96113.64,96113.64,4.052
2025-02-19 15:55:00,96113.27,96113.27,96011.71,96025.9,60.57817
2025-02-19 15:56:00,96025.9,96031.56,95953.68,95991.88,16.93767
2025-02-19 15:57:00,95991.89,95999.28,95927.46,95963.26,8.59392
2025-02-19 15:58:00,95963.26,96022.84,95963.26,95990.41,5.48406
2025-02-19 15:59:00,95990.41,95990.41,95924.52,95943.74,8.14454
2025-02-19 16:00:00,95943.74,96048.0,95943.74,96048.0,38.8273
2025-02-19 16:01:00,96048.0,96068.0,96017.95,96017.96,19.46011
2025-02-19 16:02:00,96017.96,96022.0,95930.54,95998.57,16.21
2025-02-19 16:03:00,95998.64,96095.92,95998.64,96067.78,8.9564
2025-02-19 16:04:00,96067.78,96097.99,96037.96,96052.84,5.44919
2025-02-19 16:05:00,96052.85,96056.0,95998.53,96026.21,26.3994
2025-02-19 16:06:00,96026.22,96044.0,96000.0,96028.58,7.30093
2025-02-19 16:07:00,96028.58,96054.0,95962.79,95963.62,7.24735
2025-02-19 16:08:00,95963.62,96075.48,95963.62,96048.45,7.32683
2025-02-19 16:09:00,96048.45,96133.99,96048.45,96133.99,12.7617
2025-02-19 16:10:00,96133.99,96133.99,96034.03,96069.93,8.78167
2025-02-19 16:11:00,96069.93,96163.69,96069.92,96163.68,16.78873
2025-02-19 16:12:00,96163.68,96220.0,96163.68,96197.66,10.93163
2025-02-19 16:13:00,96197.66,96197.66,96160.32,96160.33,5.2436
2025-02-19 16:14:00,96160.32,96210.76,96160.32,96197.97,12.35
2025-02-19 16:15:00,96197.97,96220.0,96177.09,96206.0,19.28491
2025-02-19 16:16:00,96206.0,96233.0,96189.1,96229.99,8.6161
2025-02-19 16:17:00,96229.99,96272.83,96207.24,96256.96,45.76265
2025-02-19 16:18:00,96256.96,96339.63,96256.95,96339.62,32.12459
2025-02-19 16:19:00,96339.63,96350.0,96306.58,96306.58,14.10892
2025-02-19 16:20:00,96306.58,96306.58,96214.47,96234.0,9.01409
2025-02-19 16:21:00,96234.0,96269.43,96200.22,96200.22,13.59201
2025-02-19 16:22:00,96200.21,96254.67,96200.21,96236.68,11.11965
2025-02-19 16:23:00,96236.67,96289.63,96236.67,96289.49,4.43092
2025-02-19 16:24:00,96289.5,96333.8,96289.49,96315.74,18.33763
2025-02-19 16:25:00,96315.74,96318.89,96286.0,96310.41,10.32132
2025-02-19 16:26:00,96310.42,96339.63,96310.41,96316.41,15.23215
2025-02-19 16:27:00,96316.42,96375.39,96316.41,96340.02,93.50846
2025-02-19 16:28:00,96340.02,96340.02,96301.88,96315.98,12.77069
2025-02-19 16:29:00,96315.99,96329.21,96315.98,96316.34,3.25906
2025-02-19 16:30:00,96316.35,96339.63,96288.67,96294.8,7.29067
2025-02-19 16:31:00,96294.8,96301.9,96214.01,96256.14,20.4775
2025-02-19 16:32:00,96256.14,96256.15,96246.51,96246.52,1.00769
